Password_Length,Typing_Time,Attempts,Access,Door_Status,Buzzer
7,7.63,3,INVALID,CLOSED,ON
8,4.98,2,INVALID,CLOSED,ON
6,1.25,3,INVALID,CLOSED,ON
8,5.01,3,INVALID,CLOSED,ON
8,7.77,4,INVALID,CLOSED,ON
5,1.86,5,INVALID,CLOSED,ON
4,2.78,5,INVALID,CLOSED,ON
7,0.67,3,INVALID,CLOSED,ON
6,3.5,4,INVALID,CLOSED,ON
7,3.25,3,INVALID,CLOSED,ON
7,4.36,1,INVALID,CLOSED,ON
6,6.95,5,INVALID,CLOSED,ON
4,0.99,4,INVALID,CLOSED,ON
4,7.74,2,INVALID,CLOSED,ON
5,2.78,5,INVALID,CLOSED,ON
5,5.63,4,INVALID,CLOSED,ON
7,4.21,3,INVALID,CLOSED,ON
4,2.44,4,INVALID,CLOSED,ON
5,3.69,2,INVALID,CLOSED,ON
7,1.89,2,VALID,OPEN,OFF
5,3.87,2,INVALID,CLOSED,ON
7,4.98,4,INVALID,CLOSED,ON
4,7.71,5,INVALID,CLOSED,ON
8,2.54,5,INVALID,CLOSED,ON
5,7.74,4,INVALID,CLOSED,ON
7,2.57,5,INVALID,CLOSED,ON
8,1.06,1,VALID,OPEN,OFF
4,1.99,3,INVALID,CLOSED,ON
6,5.8,3,INVALID,CLOSED,ON
6,6.28,5,INVALID,CLOSED,ON
5,3.19,1,INVALID,CLOSED,ON
7,6.97,4,INVALID,CLOSED,ON
5,1.22,5,INVALID,CLOSED,ON
6,4.93,3,INVALID,CLOSED,ON
6,4.04,5,INVALID,CLOSED,ON
6,6.21,2,INVALID,CLOSED,ON
6,4.42,2,INVALID,CLOSED,ON
5,3.8,3,INVALID,CLOSED,ON
4,2.86,4,INVALID,CLOSED,ON
8,2.37,5,INVALID,CLOSED,ON
6,2.02,5,INVALID,CLOSED,ON
6,5.71,4,INVALID,CLOSED,ON
5,5.18,1,INVALID,CLOSED,ON
8,7.04,4,INVALID,CLOSED,ON
7,1.9,3,INVALID,CLOSED,ON
5,1.42,1,VALID,OPEN,OFF
4,2.54,3,INVALID,CLOSED,ON
4,6.64,1,INVALID,CLOSED,ON
6,0.55,3,INVALID,CLOSED,ON
4,4.14,1,INVALID,CLOSED,ON
6,2.52,3,INVALID,CLOSED,ON
4,3.53,1,INVALID,CLOSED,ON
5,7.72,2,INVALID,CLOSED,ON
6,2.76,1,VALID,OPEN,OFF
