Distance,Servo_Angle,Direction
112,54,ANTICLOCKWISE
102,53,ANTICLOCKWISE
198,98,CENTER
112,60,CENTER
84,44,ANTICLOCKWISE
126,61,CENTER
113,58,ANTICLOCKWISE
140,70,CENTER
62,27,ANTICLOCKWISE
97,48,ANTICLOCKWISE
139,68,CENTER
170,89,CENTER
31,18,ANTICLOCKWISE
58,33,ANTICLOCKWISE
197,95,CENTER
117,59,ANTICLOCKWISE
73,39,ANTICLOCKWISE
140,69,CENTER
60,31,ANTICLOCKWISE
30,18,ANTICLOCKWISE
176,84,CENTER
141,73,CENTER
69,30,ANTICLOCKWISE
18,13,ANTICLOCKWISE
62,27,ANTICLOCKWISE
93,47,ANTICLOCKWISE
181,92,CENTER
184,89,CENTER
90,43,ANTICLOCKWISE
59,31,ANTICLOCKWISE
141,66,CENTER
143,71,CENTER
115,55,ANTICLOCKWISE
63,27,ANTICLOCKWISE
53,22,ANTICLOCKWISE
199,97,CENTER
23,13,ANTICLOCKWISE
199,101,CENTER
91,44,ANTICLOCKWISE
33,20,ANTICLOCKWISE
197,101,CENTER
166,78,CENTER
98,50,ANTICLOCKWISE
18,11,ANTICLOCKWISE
138,71,CENTER
72,33,ANTICLOCKWISE
90,47,ANTICLOCKWISE
172,83,CENTER
42,20,ANTICLOCKWISE
50,26,ANTICLOCKWISE
81,36,ANTICLOCKWISE
42,22,ANTICLOCKWISE
160,82,CENTER
46,20,ANTICLOCKWISE
181,92,CENTER
44,17,ANTICLOCKWISE
110,52,ANTICLOCKWISE
10,4,ANTICLOCKWISE
151,76,CENTER
36,21,ANTICLOCKWISE
24,16,ANTICLOCKWISE
51,22,ANTICLOCKWISE
72,37,ANTICLOCKWISE
61,28,ANTICLOCKWISE
160,81,CENTER
152,74,CENTER
22,12,ANTICLOCKWISE
196,95,CENTER
95,43,ANTICLOCKWISE
179,92,CENTER
143,69,CENTER
39,23,ANTICLOCKWISE
101,53,ANTICLOCKWISE
199,94,CENTER
138,72,CENTER
36,21,ANTICLOCKWISE
125,65,CENTER
12,7,ANTICLOCKWISE
164,85,CENTER
71,34,ANTICLOCKWISE
60,34,ANTICLOCKWISE
181,92,CENTER
68,34,ANTICLOCKWISE
169,86,CENTER
189,89,CENTER
71,30,ANTICLOCKWISE
195,95,CENTER
21,11,ANTICLOCKWISE
139,66,CENTER
122,60,CENTER
122,63,CENTER
90,40,ANTICLOCKWISE
11,1,ANTICLOCKWISE
63,32,ANTICLOCKWISE
138,66,CENTER
135,63,CENTER
62,35,ANTICLOCKWISE
169,84,CENTER
169,85,CENTER
77,39,ANTICLOCKWISE
193,91,CENTER
47,25,ANTICLOCKWISE
78,37,ANTICLOCKWISE
107,53,ANTICLOCKWISE
148,69,CENTER
133,66,CENTER
102,48,ANTICLOCKWISE
157,76,CENTER
156,82,CENTER
156,76,CENTER
105,53,ANTICLOCKWISE
61,33,ANTICLOCKWISE
170,87,CENTER
137,69,CENTER
91,47,ANTICLOCKWISE
138,72,CENTER
187,94,CENTER
168,88,CENTER
108,55,ANTICLOCKWISE
153,80,CENTER
121,63,CENTER
69,29,ANTICLOCKWISE
11,0,ANTICLOCKWISE
57,27,ANTICLOCKWISE
46,24,ANTICLOCKWISE
18,12,ANTICLOCKWISE
108,51,ANTICLOCKWISE
57,25,ANTICLOCKWISE
157,80,CENTER
63,33,ANTICLOCKWISE
170,87,CENTER
125,57,ANTICLOCKWISE
173,86,CENTER
113,54,ANTICLOCKWISE
121,63,CENTER
108,57,ANTICLOCKWISE
102,47,ANTICLOCKWISE
137,64,CENTER
63,28,ANTICLOCKWISE
198,102,CENTER
170,83,CENTER
42,20,ANTICLOCKWISE
57,26,ANTICLOCKWISE
137,70,CENTER
144,69,CENTER
154,72,CENTER
185,89,CENTER
128,64,CENTER
167,83,CENTER
118,56,ANTICLOCKWISE
191,97,CENTER
36,14,ANTICLOCKWISE
30,10,ANTICLOCKWISE
37,13,ANTICLOCKWISE
70,32,ANTICLOCKWISE
13,3,ANTICLOCKWISE
58,24,ANTICLOCKWISE
181,89,CENTER
15,4,ANTICLOCKWISE
133,69,CENTER
46,25,ANTICLOCKWISE
102,46,ANTICLOCKWISE
55,26,ANTICLOCKWISE
104,49,ANTICLOCKWISE
197,93,CENTER
125,61,CENTER
169,85,CENTER
170,82,CENTER
137,64,CENTER
34,21,ANTICLOCKWISE
63,35,ANTICLOCKWISE
76,40,ANTICLOCKWISE
183,93,CENTER
123,61,CENTER
160,76,CENTER
136,72,CENTER
139,73,CENTER
26,15,ANTICLOCKWISE
170,88,CENTER
52,26,ANTICLOCKWISE
185,93,CENTER
179,90,CENTER
35,14,ANTICLOCKWISE
59,32,ANTICLOCKWISE
161,84,CENTER
144,75,CENTER
45,20,ANTICLOCKWISE
74,39,ANTICLOCKWISE
153,73,CENTER
152,72,CENTER
75,38,ANTICLOCKWISE
