LDR1,LDR2,Direction
882,689,LEFT
839,315,LEFT
893,453,LEFT
802,303,LEFT
948,907,CENTER
821,300,LEFT
829,784,CENTER
885,866,CENTER
830,730,LEFT
793,321,LEFT
857,339,LEFT
949,868,LEFT
849,743,LEFT
817,286,LEFT
899,348,LEFT
901,865,CENTER
876,866,CENTER
832,752,LEFT
941,800,LEFT
871,479,LEFT
944,736,LEFT
959,737,LEFT
961,876,LEFT
911,461,LEFT
955,858,LEFT
967,846,LEFT
856,480,LEFT
877,864,CENTER
934,825,LEFT
875,470,LEFT
894,453,LEFT
925,812,LEFT
970,753,LEFT
959,745,LEFT
869,322,LEFT
983,790,LEFT
975,746,LEFT
841,759,LEFT
875,361,LEFT
848,751,LEFT
838,758,LEFT
975,917,LEFT
877,477,LEFT
899,478,LEFT
855,437,LEFT
862,458,LEFT
863,460,LEFT
933,818,LEFT
953,868,LEFT
898,876,CENTER
867,673,LEFT
891,651,LEFT
881,878,CENTER
807,766,CENTER
896,585,LEFT
897,648,LEFT
919,855,LEFT
880,455,LEFT
881,429,LEFT
894,602,LEFT
857,846,CENTER
913,439,LEFT
933,766,LEFT
932,883,CENTER
799,328,LEFT
866,880,CENTER
948,885,LEFT
866,696,LEFT
852,883,CENTER
891,706,LEFT
907,368,LEFT
882,348,LEFT
797,313,LEFT
805,286,LEFT
899,878,CENTER
959,800,LEFT
863,476,LEFT
929,784,LEFT
905,848,LEFT
854,649,LEFT
873,456,LEFT
830,744,LEFT
812,742,LEFT
873,857,CENTER
811,734,LEFT
804,341,LEFT
861,667,LEFT
969,836,LEFT
969,752,LEFT
958,874,LEFT
945,858,LEFT
952,862,LEFT
845,751,LEFT
904,878,CENTER
906,852,LEFT
888,445,LEFT
852,573,LEFT
871,885,CENTER
886,684,LEFT
785,330,LEFT
857,777,LEFT
985,754,LEFT
892,879,CENTER
985,782,LEFT
803,329,LEFT
896,334,LEFT
947,893,LEFT
809,740,LEFT
908,862,CENTER
940,743,LEFT
808,322,LEFT
887,865,CENTER
911,326,LEFT
852,685,LEFT
948,762,LEFT
870,324,LEFT
965,781,LEFT
954,745,LEFT
873,849,CENTER
889,579,LEFT
857,661,LEFT
980,756,LEFT
899,572,LEFT
844,619,LEFT
796,293,LEFT
828,728,LEFT
781,344,LEFT
802,341,LEFT
951,811,LEFT
935,768,LEFT
915,463,LEFT
888,683,LEFT
942,808,LEFT
912,876,CENTER
889,659,LEFT
888,683,LEFT
890,437,LEFT
883,459,LEFT
849,577,LEFT
798,309,LEFT
915,839,LEFT
869,467,LEFT
926,907,CENTER
904,886,CENTER
967,898,LEFT
810,287,LEFT
833,740,LEFT
937,831,LEFT
891,883,CENTER
882,852,CENTER
898,563,LEFT
910,364,LEFT
823,321,LEFT
892,332,LEFT
827,315,LEFT
848,658,LEFT
849,778,LEFT
930,762,LEFT
860,902,CENTER
911,360,LEFT
963,846,LEFT
853,757,LEFT
897,350,LEFT
817,758,LEFT
947,857,LEFT
856,774,LEFT
951,767,LEFT
855,570,LEFT
898,354,LEFT
828,782,CENTER
887,869,CENTER
922,907,CENTER
853,602,LEFT
867,363,LEFT
838,299,LEFT
903,354,LEFT
900,901,CENTER
855,437,LEFT
935,889,CENTER
863,880,CENTER
841,764,LEFT
891,447,LEFT
904,469,LEFT
939,900,CENTER
884,478,LEFT
877,699,LEFT
977,868,LEFT
961,893,LEFT
909,371,LEFT
882,872,CENTER
841,303,LEFT
971,813,LEFT
865,648,LEFT
877,895,CENTER
907,438,LEFT
846,703,LEFT
891,332,LEFT
866,344,LEFT
942,778,LEFT
880,647,LEFT
874,897,CENTER
961,745,LEFT
925,800,LEFT
980,747,LEFT
801,743,LEFT
793,308,LEFT
883,861,CENTER
879,660,LEFT
962,848,LEFT
956,768,LEFT
931,907,CENTER
889,697,LEFT
968,835,LEFT
858,701,LEFT
834,327,LEFT
844,774,LEFT
850,606,LEFT
950,864,LEFT
895,604,LEFT
861,363,LEFT
930,874,LEFT
892,880,CENTER
878,337,LEFT
979,908,LEFT
968,885,LEFT
872,618,LEFT
897,581,LEFT
967,822,LEFT
890,318,LEFT
850,694,LEFT
888,327,LEFT
950,835,LEFT
942,764,LEFT
976,740,LEFT
860,703,LEFT
909,331,LEFT
878,473,LEFT
886,566,LEFT
853,760,LEFT
822,757,LEFT
910,471,LEFT
841,779,LEFT
959,842,LEFT
855,659,LEFT
966,802,LEFT
902,661,LEFT
876,321,LEFT
914,851,LEFT
805,725,LEFT
850,665,LEFT
936,755,LEFT
867,337,LEFT
903,337,LEFT
857,324,LEFT
924,847,LEFT
822,743,LEFT
846,618,LEFT
883,612,LEFT
910,445,LEFT
927,914,CENTER
874,482,LEFT
877,595,LEFT
929,864,LEFT
905,455,LEFT
839,341,LEFT
815,288,LEFT
880,610,LEFT
962,790,LEFT
835,325,LEFT
958,856,LEFT
972,791,LEFT
852,749,LEFT
965,897,LEFT
819,295,LEFT
861,667,LEFT
961,738,LEFT
970,849,LEFT
841,565,LEFT
933,827,LEFT
879,426,LEFT
936,899,CENTER
896,453,LEFT
910,853,LEFT
897,903,CENTER
840,770,LEFT
855,657,LEFT
866,607,LEFT
953,859,LEFT
973,827,LEFT
966,759,LEFT
892,326,LEFT
856,653,LEFT
884,461,LEFT
896,898,CENTER
875,620,LEFT
935,890,CENTER
977,876,LEFT
857,870,CENTER
929,740,LEFT
856,852,CENTER
941,738,LEFT
889,343,LEFT
786,323,LEFT
950,744,LEFT
938,810,LEFT
862,437,LEFT
869,695,LEFT
950,857,LEFT
970,856,LEFT
976,890,LEFT
870,681,LEFT
881,328,LEFT
923,805,LEFT
860,337,LEFT
879,314,LEFT
834,316,LEFT
789,326,LEFT
854,877,CENTER
794,331,LEFT
847,602,LEFT
926,742,LEFT
878,612,LEFT
861,667,LEFT
802,778,CENTER
879,424,LEFT
931,746,LEFT
803,749,LEFT
816,751,LEFT
805,299,LEFT
789,290,LEFT
856,844,CENTER
863,463,LEFT
836,743,LEFT
804,289,LEFT
810,761,CENTER
852,704,LEFT
955,851,LEFT
911,428,LEFT
890,886,CENTER
974,889,LEFT
944,914,CENTER
909,468,LEFT
807,299,LEFT
811,324,LEFT
867,871,CENTER
914,427,LEFT
960,767,LEFT
961,871,LEFT
830,743,LEFT
